type,code,name,ISIN,start,market,group,CFI
上櫃認購(售)權證,705503,保瑞國泰98購01,TW19Z7055039,2019/08/23,上櫃,,RWSCCA
上櫃認購(售)權證,705847,環球晶統一99購01,TW19Z7058470,2019/09/11,上櫃,,RWSCCA
上櫃認購(售)權證,705848,禾昌元富96購01,TW19Z7058488,2019/09/11,上櫃,,RWSCCA
上櫃認購(售)權證,705869,穩懋元大96購01,TW19Z7058694,2019/09/11,上櫃,,RWSCCA
上櫃認購(售)權證,706690,環球晶富邦98購01,TW19Z7066903,2019/10/21,上櫃,,RWSCCA
上櫃認購(售)權證,706844,新鉅科富邦98購01,TW19Z7068446,2019/10/28,上櫃,,RWSCCA
上櫃認購(售)權證,707080,弘塑統一98購01,TW19Z7070806,2019/11/06,上櫃,,RWSCCA
上櫃認購(售)權證,707157,同致兆豐96購01,TW19Z7071572,2019/11/11,上櫃,,RWSCCA
上櫃認購(售)權證,707158,威剛兆豐96購01,TW19Z7071580,2019/11/11,上櫃,,RWSCCA
上櫃認購(售)權證,707159,網龍兆豐96購01,TW19Z7071598,2019/11/11,上櫃,,RWSCCA
上櫃認購(售)權證,707161,元太國票96購01,TW19Z7071614,2019/11/11,上櫃,,RWSCCA
上櫃認購(售)權證,707162,旺矽國票96購01,TW19Z7071622,2019/11/11,上櫃,,RWSCCA
上櫃認購(售)權證,707163,信昌電國票96購01,TW19Z7071630,2019/11/11,上櫃,,RWSCCA
上櫃認購(售)權證,707164,宣德國票96購01,TW19Z7071648,2019/11/11,上櫃,,RWSCCA
上櫃認購(售)權證,707165,聚積國票96購01,TW19Z7071655,2019/11/11,上櫃,,RWSCCA
上櫃認購(售)權證,707166,譜瑞國票96購01,TW19Z7071663,2019/11/11,上櫃,,RWSCCA
上櫃認購(售)權證,707167,中美晶國泰96購01,TW19Z7071671,2019/11/11,上櫃,,RWSCCA
上櫃認購(售)權證,707169,群聯富邦96購01,TW19Z7071697,2019/11/11,上櫃,,RWSCCA
上櫃認購(售)權證,707171,弘塑中信99購01,TW19Z7071713,2019/11/11,上櫃,,RWSCCE
上櫃認購(售)權證,707172,環球晶中信99購01,TW19Z7071721,2019/11/11,上櫃,,RWSCCE
